TargetLoc,LeftStim,RightStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,IndicatorCenter,TargetShape,iTargetShape,IndicatorUL,IndicatorDL,IndicatorUR,IndicatorDR,PreSwitchUL,PreSwitchDL,PreSwitchUR,PreSwitchDR
Center,GapL,,1,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,,GapR,0,1,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapUL,,0,0,1,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,GapDL,,0,0,0,1,0,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,,GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,,GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Square,Square,1,,,,,,,,
Center,CurveSegUL,,0,0,0,0,0,0,0,0,1,0,0,0,Square,Square,1,,,,,,,,
Center,CurveSegDL,,0,0,0,0,0,0,0,0,0,1,0,0,Square,Square,1,,,,,,,,
Center,,CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Square,Square,1,,,,,,,,
Center,,CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Square,Square,1,,,,,,,,
Center,CircleDiamondUL,,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Diamond,,,,Circle,,,
Center,CircleDiamondDL,,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,Diamond,,,,Circle,,
Center,,CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Diamond,,,,Circle,
Center,,CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,Diamond,,,,Circle
Center,CircleSquareUL,,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,Square,,,,Circle,,,
Center,CircleSquareDL,,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,Square,,,,Circle,,
Center,,CircleSquareUR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,Square,,,,Circle,
Center,,CircleSquareDR,0,0,0,0,0,0,0,0,0,0,0,0,Square,Square,1,,,,Square,,,,Circle
Center,GapL,,1,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,,GapR,0,1,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapUL,,0,0,1,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapDL,,0,0,0,1,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,,GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,,GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,CurveSegUL,,0,0,0,0,0,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,CurveSegDL,,0,0,0,0,0,0,0,0,0,1,0,0,Diamond,Diamond,2,,,,,,,,
Center,,CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,,,,,,,,
Center,,CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,,,,,,,,
Center,CircleDiamondUL,,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Diamond,,,,Circle,,,
Center,CircleDiamondDL,,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,Diamond,,,,Circle,,
Center,,CircleDiamondUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Diamond,,,,Circle,
Center,,CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,Diamond,,,,Circle
Center,CircleSquareUL,,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Square,,,,Circle,,,
Center,CircleSquareDL,,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,Square,,,,Circle,,
Center,,CircleSquareUR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Square,,,,Circle,
Center,,CircleSquareDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,Square,,,,Circle
